# PBE Book proximity tables — generated by tools/geo-data, do not edit by hand.
# US Census 2020 ZCTA Gazetteer (public domain) sha256:335402fb16b41303
# GeoNames US postal codes (CC BY 4.0, https://www.geonames.org/) sha256:65dfe4f26002b528
# US Census sub-county population estimates 2024 (public domain) column:POPESTIMATE2024 sha256:af9cd4835c93552a
# coordinates rounded to 2 decimal places (~1.1 km)
# population threshold: 10000
# rows: 3590
city,state,lat,lon
Dalton,GA,34.76,-84.96
Daly City,CA,37.7,-122.46
Dana Point,CA,33.48,-117.71
Danbury,CT,41.37,-73.43
Danvers,MA,42.57,-70.95
Danville,CA,37.81,-121.95
Danville,IL,40.14,-87.65
Danville,IN,39.77,-86.55
Danville,KY,37.64,-84.78
Danville,VA,36.6,-79.45
Daphne,AL,30.61,-87.86
Darby,PA,39.92,-75.27
Darien,CT,41.08,-73.48
Darien,IL,41.75,-87.98
Dartmouth,MA,41.76,-71.07
Davenport,FL,28.23,-81.62
Davenport,IA,41.57,-90.6
Davidson,NC,35.49,-80.82
Davis,CA,38.55,-121.74
Davison,MI,43.04,-83.51
Dayton,MN,45.2,-93.48
Dayton,OH,39.75,-84.2
Daytona Beach,FL,29.2,-81.03
De Pere,WI,44.4,-88.1
Dearborn,MI,42.29,-83.19
Dearborn Heights,MI,42.31,-83.27
Debary,FL,28.88,-81.32
Decatur,AL,34.6,-86.98
Decatur,GA,33.76,-84.27
Decatur,IL,39.85,-88.98
Decatur,IN,40.83,-84.94
Dedham,MA,42.22,-71.14
Deer Park,TX,29.7,-95.12
Deerfield,IL,42.17,-87.88
Deerfield,OH,41.04,-81.04
Deerfield Beach,FL,26.31,-80.12
Defiance,OH,41.3,-84.36
Deforest,WI,43.25,-89.33
Dekalb,IL,41.9,-88.76
Del Rio,TX,29.46,-100.91
Deland,FL,29.02,-81.3
Delano,CA,35.78,-119.22
Delaware,OH,40.3,-83.06
Delray Beach,FL,26.46,-80.1
Deltona,FL,28.96,-81.19
Deming,NM,32.21,-107.73
Denison,TX,33.75,-96.53
Dennis,MA,41.73,-70.2
Denton,TX,33.2,-97.12
Denver,CO,39.74,-104.98
Denville,NJ,40.89,-74.49
Depew,NY,42.9,-78.7
Deptford,NJ,39.83,-75.13
Derby,CT,41.33,-73.08
Derby,KS,37.57,-97.22
Derry,NH,42.89,-71.28
Derry,PA,40.35,-79.3
Des Moines,IA,41.65,-93.58
Des Plaines,IL,42.02,-87.9
Desert Hot Springs,CA,33.9,-116.4
Desha,AR,35.74,-91.68
Desoto,TX,32.6,-96.86
Destin,FL,30.4,-86.49
Detroit,MI,42.34,-83.1
Detroit Lakes,MN,46.83,-95.83
Dewitt,MI,42.86,-84.59
Diamond Bar,CA,33.99,-117.82
Diberville,MS,30.44,-88.9
Dickinson,ND,46.9,-102.81
Dickinson,TX,29.45,-95.03
Dickson,TN,36.11,-87.39
Dinuba,CA,36.52,-119.39
Dinwiddie,VA,37.05,-77.54
Dixon,CA,38.41,-121.76
Dixon,IL,41.83,-89.48
Dobbs Ferry,NY,41.01,-73.86
Dodge City,KS,37.72,-100.06
Dolton,IL,41.63,-87.6
Dona Ana,NM,32.4,-106.82
Donna,TX,26.16,-98.06
Dorchester,SC,33.14,-80.43
Dothan,AL,31.2,-85.41
Douglas,AZ,31.44,-109.5
Douglas,GA,31.51,-82.85
Douglasville,GA,33.72,-84.75
Dover,DE,39.16,-75.51
Dover,NH,43.2,-70.88
Dover,NJ,40.89,-74.57
Dover,OH,40.55,-81.48
Dover,PA,40.03,-76.86
Downers Grove,IL,41.79,-88.01
Downey,CA,33.94,-118.13
Doylestown,PA,40.33,-75.12
Dracut,MA,42.68,-71.3
Draper,UT,40.5,-111.87
Dripping Springs,TX,30.23,-98.14
Dryden,NY,42.48,-76.27
Duarte,CA,34.14,-117.97
Dublin,CA,37.72,-121.91
Dublin,GA,32.52,-82.92
Dublin,OH,40.11,-83.14
Dubois,IN,38.47,-86.79
Dubuque,IA,42.5,-90.69
Dudley,MA,42.05,-71.94
Duluth,GA,33.99,-84.11
Duluth,MN,46.81,-92.13
Dumas,TX,35.9,-102.03
Dumont,NJ,40.95,-73.99
Duncan,OK,34.5,-97.9
Duncanville,TX,32.69,-96.87
Dundee,IL,42.11,-88.3
Dunedin,FL,27.97,-82.75
Dunkirk,NY,42.48,-79.32
Durango,CO,37.28,-107.88
Durant,OK,33.97,-96.28
Durham,NC,36.01,-78.89
Durham,NH,43.12,-70.92
Duxbury,MA,42.01,-70.7
Dyer,IN,41.47,-87.51
Dyersburg,TN,36.03,-89.38
Eagle,ID,43.78,-116.39
Eagle Mountain,UT,40.33,-112
Eagle Pass,TX,28.71,-100.4
Easley,SC,34.82,-82.6
East Bridgewater,MA,42.04,-70.94
East Brunswick,NJ,40.43,-74.42
East Chicago,IN,41.65,-87.45
East Greenbush,NY,42.6,-73.66
East Greenwich,RI,41.64,-71.49
East Hampton,CT,41.56,-72.5
East Hampton,NY,41.01,-72.17
East Hanover,NJ,40.82,-74.36
East Hartford,CT,41.78,-72.67
East Lansing,MI,42.74,-84.48
East Longmeadow,MA,42.06,-72.5
East Lyme,CT,41.39,-72.23
East Moline,IL,41.52,-90.39
East Orange,NJ,40.77,-74.21
East Peoria,IL,40.69,-89.56
East Providence,RI,41.82,-71.37
East Rockaway,NY,40.64,-73.67
East Rutherford,NJ,40.82,-74.09
East Saint Louis,IL,38.61,-90.13
East Wenatchee,WA,47.49,-120.18
East Windsor,CT,41.92,-72.58
Eastchester,NY,40.95,-73.81
Easthampton,MA,42.3,-72.75
Eastlake,OH,41.65,-81.44
Easton,MA,42.02,-71.13
Easton,MD,38.79,-76.08
Easton,PA,40.69,-75.23
Eastpointe,MI,42.47,-82.95
Eatontown,NJ,40.3,-74.16
Eau Claire,WI,44.8,-91.51
Eden,NC,36.45,-79.76
Eden Prairie,MN,44.86,-93.46
Edgewater,FL,28.96,-80.92
Edgewater,NJ,40.82,-73.97
Edinburg,TX,26.37,-98.18
Edison,NJ,40.51,-74.39
Edmond,OK,35.68,-97.51
Edmonds,WA,47.82,-122.35
Edwardsville,IL,38.82,-89.94
Effingham,IL,39.12,-88.56
Egg Harbor City,NJ,39.49,-74.59
El Cajon,CA,32.8,-116.92
El Campo,TX,29.21,-96.28
El Centro,CA,32.78,-115.64
El Cerrito,CA,37.92,-122.3
El Dorado,AR,33.21,-92.65
El Dorado,CA,38.6,-120.86
El Dorado,KS,37.86,-96.78
El Mirage,AZ,33.59,-112.33
El Monte,CA,34.07,-118.03
El Paso,TX,31.71,-106.31
El Reno,OK,35.51,-97.96
El Segundo,CA,33.92,-118.4
Elbert,CO,39.19,-104.52
Elgin,IL,42.04,-88.31
Elgin,TX,30.34,-97.36
Elizabeth,NJ,40.66,-74.21
Elizabeth,PA,40.26,-79.85
Elizabeth City,NC,36.29,-76.25
Elizabethton,TN,36.37,-82.17
Elizabethtown,KY,37.7,-85.85
Elizabethtown,PA,40.17,-76.61
Elk City,OK,35.42,-99.42
Elk Grove,CA,38.4,-121.39
Elk Grove Village,IL,42.01,-87.98
Elk River,MN,45.33,-93.57
Elkhart,IN,41.68,-85.97
Elkhorn,WI,42.72,-88.53
Elko,NV,40.97,-115.76
Elkton,MD,39.62,-75.84
Ellensburg,WA,47.01,-120.46
Ellington,CT,41.91,-72.45
Elma,NY,42.83,-78.63
Elmhurst,IL,41.9,-87.94
Elmira,NY,42.11,-76.8
Elmwood Park,IL,41.92,-87.81
Elmwood Park,NJ,40.9,-74.12
Elon,NC,36.22,-79.49
Eloy,AZ,32.67,-111.55
Elyria,OH,41.38,-82.11
Emeryville,CA,37.84,-122.29
Emmaus,PA,40.53,-75.5
Emmett,MI,43.02,-82.8
Emporia,KS,38.41,-96.22
Encinitas,CA,33.05,-117.27
Endicott,NY,42.11,-76.06
Enfield,CT,41.98,-72.57
Englewood,CO,39.63,-104.96
Englewood,NJ,40.89,-73.97
Englewood,OH,39.9,-84.33
Enid,OK,36.4,-97.86
Ennis,TX,32.33,-96.61
Enterprise,AL,31.31,-85.88
Enumclaw,WA,47.22,-121.91
Ephrata,PA,40.17,-76.17
Erie,CO,40.05,-105.02
Erie,PA,42.13,-80.07
Erlanger,KY,39.03,-84.61
Escanaba,MI,45.77,-87.13
Escondido,CA,33.13,-117.08
Espanola,NM,36.01,-106.08
Essex,VT,44.51,-73.05
Essex Junction,VT,44.49,-73.06
Estero,FL,26.42,-81.76
Etna,OH,39.96,-82.68
Euclid,OH,41.59,-81.52
Eufaula,AL,31.98,-85.13
Eugene,OR,44.06,-123.12
Euless,TX,32.84,-97.09
Eureka,CA,40.78,-124.14
Eureka,MO,38.49,-90.62
Eustis,FL,28.88,-81.61
Evans,CO,40.37,-104.72
Evans,GA,33.56,-82.17
Evanston,IL,42.05,-87.69
Evanston,WY,41.14,-110.78
Evansville,IN,38,-87.57
Everett,MA,42.41,-71.05
Everett,WA,47.94,-122.23
Evergreen Park,IL,41.72,-87.7
Excelsior Springs,MO,39.33,-94.23
Exeter,CA,36.3,-119.03
Exeter,NH,42.98,-70.98
Fair Lawn,NJ,40.94,-74.12
Fairbanks,AK,65.08,-147.53
Fairborn,OH,39.82,-83.99
Fairburn,GA,33.59,-84.64
Fairfax,VA,38.83,-77.29
Fairfield,CA,38.26,-122.07
Fairfield,CT,41.18,-73.25
Fairfield,OH,39.39,-84.56
Fairhaven,MA,41.63,-70.87
Fairhope,AL,30.48,-87.86
Fairmont,MN,43.63,-94.46
Fairmont,WV,39.49,-80.16
Fairview,NJ,40.82,-74
Fairview,OR,45.55,-122.44
Fairview,PA,41.1,-77.81
Fairview,TN,35.99,-87.14
Fairview Heights,IL,38.6,-90
Fall River,MA,41.69,-71.15
Falls,PA,41.46,-75.86
Falls Church,VA,38.88,-77.17
Fallsburg,NY,41.73,-74.62
Falmouth,MA,41.56,-70.62
Falmouth,ME,43.74,-70.28
Fannin,TX,28.68,-97.2
Fargo,ND,46.87,-96.8
Faribault,MN,44.3,-93.28
Farmersville,CA,36.3,-119.2
Farmington,AR,36.03,-94.27
Farmington,CT,41.77,-72.77
Farmington,MI,42.47,-83.38
Farmington,MN,44.63,-93.12
Farmington,MO,37.75,-90.38
Farmington,NM,36.62,-108.18
Farmington,NY,42.99,-77.34
Farmington,UT,40.98,-111.9
Fate,TX,32.95,-96.37
Fayetteville,AR,36.07,-94.15
Fayetteville,GA,33.44,-84.47
Fayetteville,NC,35.04,-78.9
Federal Way,WA,47.31,-122.27
Fenton,MI,42.76,-83.74
Fergus Falls,MN,46.28,-96.08
Fernandina Beach,FL,30.64,-81.48
Ferndale,MI,42.46,-83.14
Ferndale,WA,48.86,-122.62
Fernley,NV,39.57,-119.17
Festus,MO,38.14,-90.39
Fillmore,CA,34.4,-118.91
Findlay,OH,41.04,-83.65
Firestone,CO,40.11,-104.93
Fishers,IN,39.96,-85.99
Fishkill,NY,41.53,-73.89
Fitchburg,MA,42.58,-71.82
Flagstaff,AZ,35.23,-111.54
Flat Rock,MI,42.11,-83.3
Flint,MI,43.01,-83.72
Floral Park,NY,40.73,-73.7
Florence,AL,34.87,-87.7
Florence,AZ,32.93,-111.21
Florence,KY,38.98,-84.7
Florence,NJ,40.12,-74.8
Florence,SC,34.14,-79.72
Florham Park,NJ,40.78,-74.39
Florissant,MO,38.78,-90.33
Flower Mound,TX,33.09,-97.1
Flowery Branch,GA,34.18,-83.91
Flowood,MS,32.33,-90.09
Flushing,MI,43.08,-83.87
Foley,AL,30.4,-87.72
Folsom,CA,38.67,-121.15
Fond Du Lac,WI,43.78,-88.42
Fontana,CA,34.09,-117.46
Forest Grove,OR,45.58,-123.17
Forest Lake,MN,45.27,-93.02
Forest Park,GA,33.56,-84.36
Forest Park,IL,41.87,-87.82
Forney,TX,32.74,-96.45
Forrest City,AR,35,-90.77
Fort Atkinson,WI,42.92,-88.86
Fort Collins,CO,40.58,-105.07
Fort Dodge,IA,42.49,-94.19
Fort Gratiot,MI,43.09,-82.49
Fort Lauderdale,FL,26.13,-80.21
Fort Lee,NJ,40.85,-73.97
Fort Mill,SC,35.01,-80.93
Fort Morgan,CO,40.17,-103.87
Fort Myers,FL,26.56,-81.86
Fort Oglethorpe,GA,34.95,-85.24
Fort Payne,AL,34.48,-85.71
Fort Pierce,FL,27.43,-80.39
Fort Smith,AR,35.37,-94.4
Fort Thomas,KY,39.08,-84.46
Fort Walton Beach,FL,30.43,-86.67
Fort Wayne,IN,41.09,-85.1
Fort Worth,TX,32.76,-97.32
Fortuna,CA,40.58,-124.14
Fostoria,OH,41.17,-83.4
Fountain,CO,38.64,-104.69
Fountain Hills,AZ,33.61,-111.73
Fountain Inn,SC,34.67,-82.19
Fountain Valley,CA,33.71,-117.94
Fox Lake,IL,42.39,-88.17
Framingham,MA,42.39,-71.45
Franconia,PA,40.31,-75.36
Frankfort,IL,41.48,-87.83
Frankfort,IN,40.3,-86.49
Frankfort,KY,38.22,-84.87
Franklin,IN,39.47,-86.04
Franklin,KY,36.72,-86.57
Franklin,MA,42.08,-71.41
Franklin,NJ,41.11,-74.6
Franklin,OH,39.54,-84.3
Franklin,TN,35.92,-86.88
Franklin,WI,42.88,-88.01
Franklin Lakes,NJ,41.01,-74.21
Franklin Park,IL,41.94,-87.88
Fraser,MI,42.54,-82.95
Frederick,CO,40.1,-104.93
Frederick,MD,39.42,-77.4
Fredericksburg,TX,30.28,-98.88
Fredericksburg,VA,38.3,-77.5
Freehold,NJ,40.23,-74.29
Freeport,IL,42.32,-89.64
Freeport,NY,40.65,-73.58
Freeport,TX,28.99,-95.32
Fremont,CA,37.56,-121.97
Fremont,NE,41.44,-96.49
Fremont,OH,41.36,-83.11
Fresno,CA,36.76,-119.69
Friendswood,TX,29.53,-95.19
Frisco,TX,33.18,-96.84
Front Royal,VA,38.93,-78.18
Fruita,CO,39.13,-108.81
Fruitport,MI,43.15,-86.11
Fullerton,CA,33.88,-117.93
Fulshear,TX,29.67,-95.92
Fulton,MO,38.84,-91.98
Fulton,NY,43.33,-76.38
Fuquay Varina,NC,35.54,-78.83
Gadsden,AL,34,-85.95
Gaffney,SC,35.03,-81.65
Gaines,MI,42.87,-83.88
Gainesville,FL,29.66,-82.36
Gainesville,GA,34.31,-83.86
Gainesville,TX,33.64,-97.11
Gaithersburg,MD,39.15,-77.2
Galena Park,TX,29.74,-95.24
Galesburg,IL,40.95,-90.38
Galion,OH,40.71,-82.79
Gallatin,TN,36.4,-86.46
Gallup,NM,35.48,-108.76
Galt,CA,38.27,-121.26
Galveston,TX,29.29,-94.85
Garden,MI,43.43,-84.35
Garden City,ID,43.73,-116.29
Garden City,KS,38.03,-100.77
Garden City,NY,40.73,-73.63
Garden Grove,CA,33.78,-117.97
Gardena,CA,33.89,-118.3
Gardendale,AL,33.7,-86.85
Gardner,KS,38.82,-94.94
Gardner,MA,42.59,-71.99
Garfield,NJ,40.88,-74.11
Garland,TX,32.91,-96.64
Garner,NC,35.66,-78.59
Garrard,KY,37.12,-83.73
Gary,IN,41.58,-87.34
Gastonia,NC,35.25,-81.18
Gates,NC,36.5,-76.78
Gatesville,TX,31.47,-97.74
Gautier,MS,30.41,-88.64
Genesee,MI,43.12,-83.61
Geneseo,NY,42.8,-77.77
Geneva,IL,41.88,-88.34
Geneva,NY,42.85,-77
Geneva,OH,41.78,-80.95
Genoa,OH,41.52,-83.37
Georgetown,IN,38.31,-85.98
Georgetown,KY,38.25,-84.55
Georgetown,TX,30.67,-97.71
Germantown,TN,35.12,-89.84
Germantown,WI,43.23,-88.12
Gig Harbor,WA,47.34,-122.65
Gilbert,AZ,33.32,-111.76
Gillette,WY,44.21,-105.61
Gilroy,CA,37.02,-121.56
Gladstone,OR,45.39,-122.59
Glasgow,KY,36.98,-85.91
Glassboro,NJ,39.7,-75.12
Glastonbury,CT,41.71,-72.54
Glen Carbon,IL,38.75,-89.97
Glen Cove,NY,40.87,-73.63
Glen Ellyn,IL,41.88,-88.06
Glen Rock,NJ,40.96,-74.13
Glendale,AZ,33.58,-112.2
Glendale,CA,34.15,-118.26
Glendale Heights,IL,41.92,-88.08
Glendora,CA,34.14,-117.85
Glenn,CA,39.58,-122.03
Glenpool,OK,35.95,-96.01
Glens Falls,NY,43.31,-73.65
Glenview,IL,42.08,-87.83
Glenwood Springs,CO,39.58,-107.31
Gloucester,MA,42.62,-70.67
Gloucester,VA,37.43,-76.54
Gloucester City,NJ,39.89,-75.12
Gloversville,NY,43.13,-74.34
Godfrey,IL,38.96,-90.24
Goffstown,NH,43.02,-71.56
Golden,CO,39.76,-105.24
Goldsboro,NC,35.37,-78
Goleta,CA,34.4,-119.9
Gonzales,LA,30.21,-90.9
Goochland,VA,37.71,-78.01
Goodlettsville,TN,36.34,-86.73
Goodyear,AZ,33.42,-112.4
Goose Creek,SC,33,-79.97
Gorham,ME,43.7,-70.46
Goshen,IN,41.59,-85.84
Goshen,NY,41.38,-74.35
Goshen,OH,39.22,-84.12
Grafton,IL,39.01,-90.47
Grafton,MA,42.2,-71.68
Grafton,WI,43.33,-87.93
Graham,NC,35.97,-79.35
Grain Valley,MO,39.01,-94.22
Granbury,TX,32.44,-97.76
Granby,CT,41.96,-72.8
Grand Blanc,MI,42.92,-83.62
Grand Forks,ND,47.93,-97.08
Grand Haven,MI,43.02,-86.16
Grand Island,NE,40.93,-98.4
Grand Island,NY,43.02,-78.96
Grand Junction,CO,39.08,-108.52
Grand Prairie,TX,32.7,-97.02
Grand Rapids,MI,42.98,-85.61
Grand Rapids,MN,47.24,-93.52
Grand Terrace,CA,34.03,-117.31
Grandview,MO,38.88,-94.52
Grandview,WA,46.27,-119.89
Grandville,MI,42.9,-85.76
Granite City,IL,38.73,-90.11
Grants Pass,OR,42.45,-123.36
Grantsville,UT,40.65,-112.73
Granville,OH,40.08,-82.54
Grapevine,TX,32.92,-97.07
Grass Valley,CA,39.15,-121.05
Grayslake,IL,42.34,-88.04
Great Bend,KS,38.35,-98.8
Great Falls,MT,47.52,-111.29
Great Neck,NY,40.78,-73.69
Greeley,CO,40.41,-104.72
Green,OH,40.93,-81.46
Green Bay,WI,44.5,-88.03
Green Cove Springs,FL,29.94,-81.73
Green River,WY,41.69,-109.66
Greenacres,FL,26.62,-80.13
Greenbelt,MD,39,-76.88
Greencastle,IN,39.65,-86.89
Greendale,WI,42.94,-88
Greeneville,TN,36.17,-82.84
Greenfield,CA,36.25,-121.39
Greenfield,IN,39.8,-85.77
Greenfield,MA,42.58,-72.61
Greensboro,NC,36.08,-79.8
Greensburg,IN,39.31,-85.48
Greensburg,PA,40.32,-79.5
Greenville,MS,33.33,-91.07
Greenville,NC,35.59,-77.36
Greenville,OH,40.1,-84.65
Greenville,SC,34.85,-82.41
Greenville,TX,33.14,-96.08
Greenville,WI,44.29,-88.55
Greenwich,CT,41.05,-73.64
Greenwood,IN,39.61,-86.15
Greenwood,MS,33.53,-90.16
Greenwood,SC,34.19,-82.16
Greer,SC,34.95,-82.26
Grenada,MS,33.77,-89.8
Gresham,OR,45.5,-122.41
Gretna,LA,29.9,-90.04
Griffin,GA,33.25,-84.26
Griffith,IN,41.53,-87.42
Grimes,IA,41.69,-93.8
Grosse Ile,MI,42.13,-83.15
Groton,CT,41.38,-72.06
Groton,MA,42.61,-71.57
Grove City,OH,39.87,-83.12
Groveland,FL,28.56,-81.9
Groveland,IL,40.58,-89.52
Grover Beach,CA,35.12,-120.62
Groves,TX,29.95,-93.92
Grovetown,GA,33.47,-82.22
Guilderland,NY,42.7,-73.9
Guilford,CT,41.33,-72.7
Guilford,IN,39.2,-84.95
Gulf Shores,AL,30.26,-87.72
Gulfport,MS,30.42,-89.08
Gurnee,IL,42.37,-87.94
Guthrie,OK,35.86,-97.42
Guymon,OK,36.74,-101.51
Gypsum,KS,38.66,-97.41
Hackensack,NJ,40.89,-74.04
Hackettstown,NJ,40.85,-74.84
Haddonfield,NJ,39.89,-75.04
Hagerstown,MD,39.63,-77.71
Haines City,FL,28.05,-81.6
Half Moon Bay,CA,37.47,-122.41
Haltom City,TX,32.8,-97.27
Hamburg,MI,42.45,-83.81
Hamburg,NY,42.71,-78.83
Hamden,CT,41.39,-72.92
Hamilton,OH,39.42,-84.57
Hamilton,PA,40.92,-79.08
Hammond,IN,41.59,-87.47
Hammond,LA,30.51,-90.47
Hammonton,NJ,39.64,-74.76
Hampton,IL,41.55,-90.41
Hampton,NH,42.97,-70.93
Hampton,VA,37.05,-76.36
Hamtramck,MI,42.41,-83.06
Hanahan,SC,32.93,-80
Hanford,CA,36.31,-119.63
Hannibal,MO,39.69,-91.46
Hanover,IL,42.27,-90.31
Hanover,IN,38.67,-85.48
Hanover,MA,42.11,-70.84
Hanover,NH,43.73,-72.14
Hanover,PA,39.8,-76.98
Hanover,VA,37.77,-77.32
Hanover Park,IL,41.98,-88.14
Hanson,MA,42.05,-70.87
Happy Valley,OR,45.45,-122.53
Harborcreek,PA,42.17,-79.93
Hardeeville,SC,32.23,-81.06
Harker Heights,TX,31.05,-97.64
Harlingen,TX,26.22,-97.71
Harper Woods,MI,42.44,-82.93
Harrisburg,NC,35.3,-80.64
Harrisburg,PA,40.28,-76.86
Harrisburg,SD,43.42,-96.68
Harrison,AR,36.24,-93.1
Harrison,MI,43.32,-83.83
Harrison,NJ,40.74,-74.15
Harrison,NY,40.98,-73.72
Harrison,OH,39.26,-84.76
Harrisonburg,VA,38.44,-78.87
Hartford,CT,41.78,-72.7
Hartford,VT,43.67,-72.36
Hartford,WI,43.32,-88.37
Hartland,MI,42.65,-83.71
Hartland,WI,43.15,-88.34
Hartselle,AL,34.44,-86.94
Hartsville,TN,36.43,-86.15
Harvey,IL,41.61,-87.65
Harwich,MA,41.71,-70.06
Hasbrouck Heights,NJ,40.86,-74.08
Hastings,MN,44.71,-92.86
Hastings,NE,40.59,-98.38
Hatfield,PA,40.29,-75.29
Hattiesburg,MS,31.27,-89.33
Havelock,NC,34.91,-76.89
Haverford,PA,40.01,-75.32
Haverhill,MA,42.78,-71.1
Haverstraw,NY,41.19,-73.97
Havre De Grace,MD,39.56,-76.14
Hawaiian Gardens,CA,33.83,-118.07
Hawthorne,CA,33.92,-118.35
Hawthorne,NJ,40.96,-74.15
Hayden,ID,47.8,-116.66
Hays,KS,38.88,-99.35
Haysville,KS,37.54,-97.36
Hayward,CA,37.66,-122.03
Hazel Crest,IL,41.57,-87.68
Hazel Park,MI,42.46,-83.1
Hazelwood,MO,38.78,-90.38
Hazlet,NJ,40.43,-74.18
Hazleton,PA,40.95,-76
Healdsburg,CA,38.62,-122.89
Heath,OH,40.01,-82.34
Heber City,UT,40.54,-111.32
Helena,AL,33.26,-86.91
Helena,MT,46.61,-112.03
Helotes,TX,29.58,-98.75
Hemet,CA,33.7,-116.96
Hempstead,NY,40.71,-73.61
Henderson,KY,37.81,-87.56
Henderson,NC,36.35,-78.4
Henderson,NV,35.99,-115.01
Henderson,TX,32.16,-94.79
Hendersonville,NC,35.32,-82.48
Hendersonville,TN,36.32,-86.61
Henrico,VA,37.55,-77.47
Henrietta,NY,43.04,-77.61
Henry,VA,36.84,-80
Hercules,CA,38.01,-122.26
Hereford,TX,34.91,-102.55
Hermiston,OR,45.85,-119.29
Hermitage,PA,41.23,-80.42
Hermosa Beach,CA,33.86,-118.4
Hernando,FL,28.94,-82.38
Hernando,MS,34.8,-90.02
Herndon,VA,38.93,-77.37
Herriman,UT,40.53,-112.13
Herrin,IL,37.82,-89.03
Hesperia,CA,34.4,-117.33
Hewitt,TX,31.45,-97.2
Hialeah,FL,25.88,-80.3
Hibbing,MN,47.4,-92.95
Hickman,TN,36.13,-85.93
Hickory,NC,35.71,-81.34
Hickory Hills,IL,41.72,-87.83
Hidalgo,TX,26.11,-98.24
High Point,NC,35.99,-80
Highland,CA,34.12,-117.18
Highland,IL,38.76,-89.67
Highland,IN,41.55,-87.46
Highland,MI,42.66,-83.62
Highland Park,IL,42.19,-87.81
Highland Park,NJ,40.5,-74.43
Hilliard,OH,40.02,-83.19
Hillsboro,OR,45.52,-122.96
Hillsborough,NJ,40.5,-74.67
Hillsdale,NJ,41.01,-74.04
Hillside,NJ,40.7,-74.23
Hilltown,PA,40.32,-75.25
Hilton Head Island,SC,32.25,-80.74
Hinesville,GA,31.83,-81.53
Hingham,MA,42.23,-70.88
Hinsdale,IL,41.82,-88.01
Hobart,IN,41.52,-87.24
Hobbs,NM,32.74,-103.25
Hoboken,NJ,40.75,-74.03
Hockley,TX,30.05,-95.83
Hoffman Estates,IL,42.06,-88.18
Holbrook,MA,42.14,-71
Holden,MA,42.34,-71.85
Holland,MI,42.79,-86.11
Hollister,CA,36.88,-121.37
Holliston,MA,42.2,-71.45
Holly,MI,42.79,-83.61
Holly Springs,GA,34.17,-84.5
Holly Springs,NC,35.62,-78.86
Hollywood,FL,26.01,-80.22
Holmdel,NJ,40.37,-74.17
Holmen,WI,44,-91.22
Holyoke,MA,42.21,-72.63
Homer,IL,40.01,-87.97
Homer Glen,IL,41.6,-87.96
Homestead,FL,25.48,-80.46
Homewood,IL,41.56,-87.66
Honolulu,HI,21.31,-157.84
Hooksett,NH,43.08,-71.45
Hopatcong,NJ,40.94,-74.66
Hope Mills,NC,34.91,-78.93
Hopewell,NJ,40.4,-74.78
Hopewell,PA,40.11,-78.29
Hopewell,VA,37.27,-77.23
Hopkins,MN,44.94,-93.43
Hopkinsville,KY,36.88,-87.47
Hopkinton,MA,42.22,-71.54
Horn Lake,MS,34.95,-90.05
Horseheads,NY,42.22,-76.83
Horsham,PA,40.19,-75.15
Hot Springs Village,AR,34.66,-93
Houma,LA,29.58,-90.73
Houston,AL,34.2,-87.28
Houston,TX,29.8,-95.42
Howell,NJ,40.15,-74.2
Hubbard,OH,41.17,-80.57
Hudson,MA,42.39,-71.55
Hudson,NH,42.76,-71.41
Hudson,OH,41.19,-81.49
Hudson,WI,44.98,-92.69
Hugo,MN,45.17,-92.98
Hull,MA,42.3,-70.93
Humble,TX,29.99,-95.25
Hunt,TX,30.04,-99.52
Huntersville,NC,35.41,-80.85
Huntertown,IN,41.25,-85.16
Huntington,IN,40.88,-85.5
Huntington,NY,40.88,-73.42
Huntington,WV,38.41,-82.34
Huntington Beach,CA,33.7,-118
Huntington Park,CA,33.98,-118.22
Huntley,IL,42.17,-88.44
Huntsville,AL,34.72,-86.58
Huntsville,TX,30.72,-95.55
Huron,OH,41.38,-82.56
Huron,SD,44.38,-98.2
Hurricane,UT,37.03,-113.25
Hurst,TX,32.84,-97.18
Hutchinson,KS,38.02,-97.98
Hutchinson,MN,44.9,-94.39
Hutto,TX,30.56,-97.55
Hyattsville,MD,38.96,-76.94
Hyde Park,NY,41.79,-73.89
Hyrum,UT,41.6,-111.67
Idaho Falls,ID,43.48,-112
Imperial,CA,32.88,-115.68
Imperial Beach,CA,32.58,-117.11
Independence,KY,38.93,-84.55
Independence,MO,39.1,-94.39
Independence,OR,44.82,-123.13
Indian Trail,NC,35.11,-80.6
Indiana,PA,40.63,-79.15
Indianapolis,IN,39.8,-86.14
Indianola,IA,41.34,-93.58
Indio,CA,33.74,-116.17
Ingleside,TX,27.85,-97.2
Inglewood,CA,33.92,-118.34
Inkster,MI,42.29,-83.32
Inver Grove Heights,MN,44.83,-93.04
Ionia,MI,42.99,-85.06
Iowa City,IA,41.64,-91.55
Ipswich,MA,42.68,-70.84
Irmo,SC,34.14,-81.2
Ironton,OH,38.56,-82.68
Irvine,CA,33.68,-117.8
Irving,TX,32.85,-96.94
Irvington,NJ,40.72,-74.23
Isle Of Wight,VA,36.9,-76.69
Islip,NY,40.73,-73.21
Issaquah,WA,47.53,-122
Ithaca,NY,42.45,-76.49
Ivins,UT,37.17,-113.7
Jackson,MI,42.23,-84.38
Jackson,MO,37.44,-89.64
Jackson,MS,32.31,-90.18
