# PBE Book proximity tables — generated by tools/geo-data, do not edit by hand.
# US Census 2020 ZCTA Gazetteer (public domain) sha256:335402fb16b41303
# GeoNames US postal codes (CC BY 4.0, https://www.geonames.org/) sha256:65dfe4f26002b528
# US Census sub-county population estimates 2024 (public domain) column:POPESTIMATE2024 sha256:af9cd4835c93552a
# coordinates rounded to 2 decimal places (~1.1 km)
# population threshold: 10000
# rows: 3590
city,state,lat,lon
Bainbridge Island,WA,47.65,-122.53
Baker,FL,30.88,-86.68
Baker,LA,30.56,-91.1
Baker City,OR,44.84,-117.76
Bakersfield,CA,35.33,-118.97
Balch Springs,TX,32.72,-96.62
Baldwin Park,CA,34.1,-117.97
Ballwin,MO,38.59,-90.55
Baltimore,MD,39.3,-76.62
Bangor,ME,44.83,-68.81
Bangor,MI,42.31,-86.11
Banning,CA,33.95,-116.83
Baraboo,WI,43.49,-89.73
Barberton,OH,41.02,-81.63
Bardstown,KY,37.8,-85.47
Bargersville,IN,39.51,-86.21
Barnegat,NJ,39.77,-74.31
Barnstable,MA,41.71,-70.31
Barrington,IL,42.24,-87.88
Barrington,RI,41.74,-71.32
Barstow,CA,34.94,-116.99
Bartlesville,OK,36.73,-95.96
Bartlett,IL,41.98,-88.2
Bartow,FL,27.89,-81.82
Bastrop,TX,30.12,-97.33
Batavia,IL,41.84,-88.31
Batavia,NY,43,-78.19
Batavia,OH,39.1,-84.13
Batesville,AR,35.76,-91.59
Bath,MI,42.83,-84.44
Bath,NY,42.35,-77.34
Bath,OH,41.19,-81.64
Baton Rouge,LA,30.48,-91.11
Battle Creek,MI,42.3,-85.13
Battle Ground,WA,45.81,-122.51
Bay City,MI,43.63,-83.91
Bay City,TX,28.95,-95.92
Bay Saint Louis,MS,30.34,-89.49
Bay Village,OH,41.49,-81.93
Bayonne,NJ,40.66,-74.11
Baytown,TX,29.76,-94.95
Beachwood,NJ,39.93,-74.2
Beachwood,OH,41.47,-81.51
Beacon,NY,41.5,-73.95
Beatrice,NE,40.25,-96.75
Beaufort,SC,32.43,-80.68
Beaumont,CA,33.95,-116.99
Beaumont,TX,30.08,-94.15
Beaver Dam,WI,43.45,-88.85
Beaverton,OR,45.48,-122.82
Beckley,WV,37.78,-81.24
Bedford,IN,38.86,-86.45
Bedford,MA,42.5,-71.28
Bedford,MI,42.4,-85.23
Bedford,NH,42.94,-71.54
Bedford,NY,41.19,-73.64
Bedford,OH,41.38,-81.53
Bedford,TX,32.84,-97.14
Beech Grove,IN,39.72,-86.09
Beeville,TX,28.47,-97.73
Bel Air,MD,39.54,-76.32
Belchertown,MA,42.28,-72.4
Belgrade,MT,45.98,-111.13
Bell,CA,33.98,-118.19
Bell Gardens,CA,33.97,-118.17
Bella Vista,AR,36.47,-94.26
Bellaire,TX,29.77,-95.44
Belle Glade,FL,26.64,-80.55
Bellefontaine,OH,40.37,-83.76
Belleville,IL,38.5,-89.99
Belleville,NJ,40.79,-74.16
Bellevue,NE,41.14,-95.93
Bellevue,WA,47.6,-122.17
Bellflower,CA,33.89,-118.12
Bellingham,MA,42.08,-71.47
Bellingham,WA,48.76,-122.47
Bellmawr,NJ,39.87,-75.09
Bellwood,IL,41.88,-87.88
Belmont,CA,37.51,-122.3
Belmont,MA,42.4,-71.18
Belmont,NC,35.21,-81.04
Beloit,WI,42.53,-89.06
Belton,MO,38.79,-94.54
Belton,TX,31.05,-97.5
Belvidere,IL,42.24,-88.84
Bemidji,MN,47.49,-94.87
Bend,OR,44.03,-121.33
Benicia,CA,38.1,-122.14
Bennington,VT,42.87,-73.13
Bensalem,PA,40.1,-74.94
Bensenville,IL,41.96,-87.94
Benton,AR,34.58,-92.63
Benton,IL,38,-88.92
Bentonville,AR,36.34,-94.27
Berea,KY,37.57,-84.28
Berea,OH,41.37,-81.86
Bergenfield,NJ,40.92,-74
Berkeley,CA,37.87,-122.27
Berkeley Heights,NJ,40.68,-74.43
Berkley,MI,42.5,-83.19
Berkshire,MA,42.51,-73.2
Berlin,CT,41.61,-72.78
Berlin,OH,40.56,-81.8
Berthoud,CO,40.3,-105.1
Berwick,PA,41.08,-76.25
Berwyn,IL,41.84,-87.79
Bessemer,AL,33.43,-86.99
Bethany,OK,35.51,-97.65
Bethel,CT,41.37,-73.39
Bethel,OH,38.95,-84.06
Bethel Park,PA,40.32,-80.04
Bethlehem,PA,40.64,-75.37
Bettendorf,IA,41.57,-90.47
Beverly,MA,42.57,-70.87
Beverly Hills,CA,34.07,-118.4
Biddeford,ME,43.48,-70.5
Big Horn,WY,44.61,-107.06
Big Lake,MN,45.38,-93.74
Big Spring,TX,32.26,-101.42
Billerica,MA,42.56,-71.26
Billings,MT,45.78,-108.5
Biloxi,MS,30.42,-88.95
Binghamton,NY,42.12,-75.9
Birmingham,AL,33.52,-86.84
Birmingham,MI,42.55,-83.21
Bismarck,ND,46.83,-100.74
Bixby,OK,35.92,-95.88
Blackfoot,ID,43.32,-112.55
Blacksburg,VA,37.22,-80.4
Bloomfield,CT,41.84,-72.74
Bloomfield,NJ,40.81,-74.19
Blooming Grove,NY,41.42,-74.2
Bloomingdale,IL,41.9,-88.09
Bloomington,IL,40.48,-88.92
Bloomington,IN,39.17,-86.52
Bloomsburg,PA,41.02,-76.42
Blue Island,IL,41.65,-87.68
Blue Springs,MO,39.01,-94.28
Bluffton,IN,40.72,-85.18
Bluffton,SC,32.22,-80.89
Blythe,CA,33.67,-114.67
